"","ID","noEvents","CP","INTEREST_RATE","CAT","AMOUNT","CARD_TYPE","DELIVERY_SCORE","TXN","TIMES_USED"
"70",96,1,NA,NA,NA,NA,NA,NA,NA,NA
"71",98,1,NA,NA,NA,NA,NA,NA,NA,NA
"72",99,6,NA,48,48,1400,"DIGITAL",NA,7720.5387218,3
"73",101,6,NA,33,34,24600,"DIGITAL",NA,18075.8033829,3
"74",103,3,NA,NA,NA,NA,NA,NA,NA,NA
"75",104,7,44100,34,35,19100,"PLASTIC",2,547.69223015,3
"76",105,4,53100,49,48,2700,"PLASTIC",2,NA,NA
"77",108,1,NA,NA,NA,NA,NA,NA,NA,NA
"78",114,3,NA,NA,NA,NA,NA,NA,NA,NA
"79",115,9,64000,46,32,27400,"PLASTIC",1,2032.175218187,5
"80",116,1,NA,NA,NA,NA,NA,NA,NA,NA
"81",117,6,NA,44,46,24400,"DIGITAL",NA,7159.092734261,3
"82",118,8,NA,40,33,36700,"DIGITAL",NA,2097.68283201,5
"83",119,5,NA,35,47,9700,"DIGITAL",NA,223.5189865,2
"84",120,5,NA,43,34,700,"DIGITAL",NA,1944.45981666,2
"85",122,3,NA,NA,NA,NA,NA,NA,NA,NA
"86",123,1,NA,NA,NA,NA,NA,NA,NA,NA
"87",124,3,NA,NA,NA,NA,NA,NA,NA,NA
"88",125,1,NA,NA,NA,NA,NA,NA,NA,NA
"89",126,3,NA,NA,NA,NA,NA,NA,NA,NA
"90",127,6,NA,33,44,12600,"DIGITAL",NA,260.19024634,3
"91",128,3,NA,NA,NA,NA,NA,NA,NA,NA
"92",129,8,44100,45,37,23600,"PLASTIC",0,27308.89004763,4
"93",130,3,NA,NA,NA,NA,NA,NA,NA,NA
"94",131,1,NA,NA,NA,NA,NA,NA,NA,NA
"95",132,3,NA,NA,NA,NA,NA,NA,NA,NA
"96",133,1,NA,NA,NA,NA,NA,NA,NA,NA
"97",134,4,NA,40,49,3200,"DIGITAL",NA,184.6786533,1
"98",135,7,64000,35,46,9900,"PLASTIC",2,25773.542562,3
"99",136,9,44620,49,42,7900,"PLASTIC",3,385.747664425,5
"100",137,3,NA,NA,NA,NA,NA,NA,NA,NA
"101",139,6,NA,49,34,4400,"DIGITAL",NA,17583.19218598,3
"102",140,7,44100,41,40,2200,"PLASTIC",0,2752.88766624,3
"103",141,3,NA,49,41,29800,"DIGITAL",NA,NA,NA
"104",142,3,NA,NA,NA,NA,NA,NA,NA,NA
"105",143,5,44100,32,46,17700,"PLASTIC",1,5224.386979,1
"106",145,7,NA,38,41,37400,"DIGITAL",NA,5670.85475876,4
"107",146,1,NA,NA,NA,NA,NA,NA,NA,NA
"108",147,8,NA,31,31,9600,"DIGITAL",NA,1695.313831408,5
"109",148,3,NA,NA,NA,NA,NA,NA,NA,NA
"110",150,9,44100,49,48,18900,"PLASTIC",1,10218.27953207,5
"111",152,1,NA,NA,NA,NA,NA,NA,NA,NA
"112",153,9,53100,42,37,20200,"PLASTIC",0,4206.76561104,5
"113",154,3,NA,NA,NA,NA,NA,NA,NA,NA
"114",155,3,NA,45,32,53200,"DIGITAL",NA,NA,NA
"115",158,5,11560,40,48,36600,"PLASTIC",2,75.39058645,1
"116",160,6,64000,40,36,5100,"PLASTIC",3,11383.246185,2
"117",162,8,53100,49,37,25100,"PLASTIC",3,8963.92179836,4
"118",163,6,53100,47,40,4500,"PLASTIC",5,7889.08786946,2
"119",164,5,64000,45,47,19600,"PLASTIC",2,603.8415931,1
"120",167,3,NA,NA,NA,NA,NA,NA,NA,NA
"121",168,9,53100,32,49,17700,"PLASTIC",1,5510.8670776,5
"122",169,1,NA,NA,NA,NA,NA,NA,NA,NA
"123",171,8,NA,45,43,2600,"DIGITAL",NA,2650.777669524,5
"124",172,3,NA,NA,NA,NA,NA,NA,NA,NA
"125",173,7,44100,44,46,12200,"PLASTIC",2,1513.6868455,3
"126",174,1,NA,NA,NA,NA,NA,NA,NA,NA
"127",176,6,NA,45,34,22000,"DIGITAL",NA,41468.34083883,3
"128",178,5,11560,44,46,1500,"PLASTIC",4,49.54555102,1
"129",180,6,11560,36,34,11300,"PLASTIC",2,230.3022289,2
"130",181,1,NA,NA,NA,NA,NA,NA,NA,NA
"131",182,9,53100,31,31,73900,"PLASTIC",1,2277.04157431,5
"132",183,3,NA,NA,NA,NA,NA,NA,NA,NA
"133",184,1,NA,NA,NA,NA,NA,NA,NA,NA
"134",193,3,NA,NA,NA,NA,NA,NA,NA,NA
"135",194,4,NA,34,46,6100,"DIGITAL",NA,30134.49611,1
"136",196,1,NA,NA,NA,NA,NA,NA,NA,NA
"137",197,6,44620,45,41,1900,"PLASTIC",0,698.1060364,2
"138",200,6,44620,35,34,2000,"PLASTIC",2,220.29756538,2
"139",201,3,NA,NA,NA,NA,NA,NA,NA,NA
"140",202,3,NA,NA,NA,NA,NA,NA,NA,NA
"141",203,5,53100,46,46,20700,"PLASTIC",3,112.3852573,1
"142",205,1,NA,NA,NA,NA,NA,NA,NA,NA
"143",206,1,NA,NA,NA,NA,NA,NA,NA,NA
"144",207,1,NA,NA,NA,NA,NA,NA,NA,NA
"145",208,1,NA,NA,NA,NA,NA,NA,NA,NA
"146",209,4,NA,40,43,4100,"DIGITAL",NA,223.7186438,1
"147",211,1,NA,NA,NA,NA,NA,NA,NA,NA
"148",212,8,NA,47,48,3600,"DIGITAL",NA,3742.80101766,5
"149",213,3,NA,NA,NA,NA,NA,NA,NA,NA
"150",216,6,44100,33,40,32100,"PLASTIC",4,2616.3501119,2
"151",217,4,64000,48,47,13400,"PLASTIC",1,NA,NA
"152",218,9,44100,47,41,39400,"PLASTIC",1,2326.15698249,5
"153",219,3,NA,NA,NA,NA,NA,NA,NA,NA
"154",221,8,NA,31,41,36400,"DIGITAL",NA,3389.3458605,5
"155",222,6,44620,42,38,6700,"PLASTIC",0,781.16787857,2
"156",223,5,53100,43,42,1300,"PLASTIC",2,344.8293311,1
"157",224,1,NA,NA,NA,NA,NA,NA,NA,NA
"158",225,1,NA,NA,NA,NA,NA,NA,NA,NA
"159",226,7,53100,40,47,9100,"PLASTIC",0,264.828570783,3
"160",229,1,NA,NA,NA,NA,NA,NA,NA,NA
"161",230,1,NA,NA,NA,NA,NA,NA,NA,NA
"162",231,6,64000,49,37,8800,"PLASTIC",2,19230.2326684,2
"163",232,4,11560,48,36,18400,"PLASTIC",1,NA,NA
"164",234,9,53100,31,45,10000,"PLASTIC",1,1936.83767225,5
"165",236,1,NA,NA,NA,NA,NA,NA,NA,NA
"166",237,1,NA,NA,NA,NA,NA,NA,NA,NA
"167",238,6,44100,36,33,4700,"PLASTIC",3,779.40160482,2
"168",239,3,NA,NA,NA,NA,NA,NA,NA,NA
"169",242,5,11560,48,46,3000,"PLASTIC",2,122.7882903,1
"170",245,9,53100,34,44,1400,"PLASTIC",2,3855.44723852,5
"171",246,4,11560,30,36,16800,"PLASTIC",2,NA,NA
"172",247,5,53100,35,39,4900,"PLASTIC",2,399.5979398,1
"173",249,4,44100,35,35,9100,"PLASTIC",4,NA,NA
"174",250,8,NA,37,34,5000,"DIGITAL",NA,7876.2793192,5
"175",251,1,NA,NA,NA,NA,NA,NA,NA,NA
"176",252,1,NA,NA,NA,NA,NA,NA,NA,NA
"177",253,9,44100,45,34,8600,"PLASTIC",3,2883.92861159,5
"178",254,1,NA,NA,NA,NA,NA,NA,NA,NA
"179",255,3,NA,NA,NA,NA,NA,NA,NA,NA
"180",256,1,NA,NA,NA,NA,NA,NA,NA,NA
"181",257,1,NA,NA,NA,NA,NA,NA,NA,NA
"182",258,1,NA,NA,NA,NA,NA,NA,NA,NA
"183",259,3,NA,NA,NA,NA,NA,NA,NA,NA
"184",261,1,NA,NA,NA,NA,NA,NA,NA,NA
"185",262,7,53100,36,37,28500,"PLASTIC",2,3109.17733114,3
"186",263,8,11560,44,31,27900,"PLASTIC",0,2345.328102448,4
"187",264,5,53100,40,43,3100,"PLASTIC",2,176.0119984,1
"188",265,1,NA,NA,NA,NA,NA,NA,NA,NA
"189",266,1,NA,NA,NA,NA,NA,NA,NA,NA
"190",268,9,53100,45,37,5800,"PLASTIC",1,2536.18151886,5
"191",269,4,44100,35,41,17600,"PLASTIC",4,NA,NA
"192",270,5,NA,42,35,17700,"DIGITAL",NA,879.9480692,2
"193",271,1,NA,NA,NA,NA,NA,NA,NA,NA
"194",272,4,11560,35,38,2100,"PLASTIC",1,NA,NA
"195",273,4,NA,42,48,6200,"DIGITAL",NA,718.9971088,1
"196",274,9,11560,43,31,19600,"PLASTIC",2,1096.82939766,5
"197",275,8,53100,48,32,200,"PLASTIC",2,2338.56183799,4
"198",276,6,44620,43,43,8500,"PLASTIC",2,2357.8596581,2
"199",277,1,NA,NA,NA,NA,NA,NA,NA,NA
"200",279,6,11560,48,45,8600,"PLASTIC",3,677.709051,2
"201",280,8,11560,44,42,2300,"PLASTIC",2,2188.26305586,4
"202",282,3,NA,NA,NA,NA,NA,NA,NA,NA
"203",284,4,53100,48,43,0,"PLASTIC",1,NA,NA
"204",285,3,NA,NA,NA,NA,NA,NA,NA,NA
"205",286,1,NA,NA,NA,NA,NA,NA,NA,NA
"206",288,5,53100,44,31,5500,"PLASTIC",3,152.4893734,1
"207",289,4,53100,48,40,18300,"PLASTIC",2,NA,NA
"208",290,3,NA,NA,NA,NA,NA,NA,NA,NA
"209",293,1,NA,NA,NA,NA,NA,NA,NA,NA
"210",294,4,NA,49,44,6500,"DIGITAL",NA,73.2393127,1
"211",297,3,NA,NA,NA,NA,NA,NA,NA,NA
"212",298,6,11560,36,41,2800,"PLASTIC",1,169774.05938028,2
"213",299,7,64000,41,32,7100,"PLASTIC",2,3020.1252415,3
"214",300,1,NA,NA,NA,NA,NA,NA,NA,NA
"215",301,6,NA,49,30,7200,"DIGITAL",NA,58346.91069961,3
"216",302,1,NA,NA,NA,NA,NA,NA,NA,NA
"217",303,1,NA,NA,NA,NA,NA,NA,NA,NA
"218",304,1,NA,NA,NA,NA,NA,NA,NA,NA
"219",305,1,NA,NA,NA,NA,NA,NA,NA,NA
"220",308,6,44100,38,49,21800,"PLASTIC",0,1626.7131198,2
"221",309,5,NA,37,41,12000,"DIGITAL",NA,4405.81339456,2
"222",311,3,NA,NA,NA,NA,NA,NA,NA,NA
"223",312,3,NA,NA,NA,NA,NA,NA,NA,NA
"224",313,6,NA,33,48,4200,"DIGITAL",NA,5439.16691756,3
"225",314,7,NA,33,36,3600,"DIGITAL",NA,6522.262563507,4
"226",316,3,NA,NA,NA,NA,NA,NA,NA,NA
"227",317,3,NA,NA,NA,NA,NA,NA,NA,NA
"228",318,6,53100,43,35,7300,"PLASTIC",1,68.62855075,2
"229",319,1,NA,NA,NA,NA,NA,NA,NA,NA
"230",320,3,NA,NA,NA,NA,NA,NA,NA,NA
"231",321,1,NA,NA,NA,NA,NA,NA,NA,NA
"232",322,9,53100,37,34,27100,"PLASTIC",1,3188.81749542,5
"233",323,9,53100,39,42,37300,"PLASTIC",2,12871.502756134,5
"234",324,3,NA,30,30,8800,"DIGITAL",NA,NA,NA
"235",325,1,NA,NA,NA,NA,NA,NA,NA,NA
"236",327,3,NA,NA,NA,NA,NA,NA,NA,NA
"237",329,1,NA,NA,NA,NA,NA,NA,NA,NA
"238",332,3,NA,NA,NA,NA,NA,NA,NA,NA
"239",333,3,NA,NA,NA,NA,NA,NA,NA,NA
"240",334,1,NA,NA,NA,NA,NA,NA,NA,NA
"241",338,6,53100,33,41,62600,"PLASTIC",3,278.79703521,2
"242",340,1,NA,NA,NA,NA,NA,NA,NA,NA
"243",341,9,53100,48,40,600,"PLASTIC",2,3341.36219922,5
"244",344,1,NA,NA,NA,NA,NA,NA,NA,NA
"245",345,9,44100,43,39,10300,"PLASTIC",1,6889.62186835,5
"246",347,4,11560,45,35,27400,"PLASTIC",3,NA,NA
"247",348,5,NA,44,47,17700,"DIGITAL",NA,820.5420684,2
"248",349,4,11560,35,33,24700,"PLASTIC",2,NA,NA
"249",350,4,53100,34,34,18400,"PLASTIC",1,NA,NA
"250",351,6,44620,41,47,4700,"PLASTIC",1,990.59369439,2
"251",352,4,44100,35,47,15500,"PLASTIC",3,NA,NA
"252",353,7,64000,45,40,900,"PLASTIC",2,995.73740987,3
"253",354,7,64000,33,49,100,"PLASTIC",2,3187.84521583,3
"254",356,3,NA,NA,NA,NA,NA,NA,NA,NA
"255",357,3,NA,NA,NA,NA,NA,NA,NA,NA
"256",360,1,NA,NA,NA,NA,NA,NA,NA,NA
"257",362,8,NA,46,45,24500,"DIGITAL",NA,18739.10480389,5
"258",363,1,NA,NA,NA,NA,NA,NA,NA,NA
"259",364,3,NA,32,37,9000,"DIGITAL",NA,NA,NA
"260",365,3,NA,NA,NA,NA,NA,NA,NA,NA
"261",369,4,11560,36,39,27100,"PLASTIC",3,NA,NA
"262",370,8,44100,48,46,3500,"PLASTIC",1,7130.06478077,4
"263",375,3,NA,NA,NA,NA,NA,NA,NA,NA
"264",376,3,NA,NA,NA,NA,NA,NA,NA,NA
"265",377,7,11560,49,36,12900,"PLASTIC",3,478.8210616,3
"266",380,8,NA,32,47,17900,"DIGITAL",NA,5107.877576289,5
"267",381,6,64000,34,33,14200,"PLASTIC",3,696.17727182,2
"268",382,1,NA,NA,NA,NA,NA,NA,NA,NA
"269",385,3,NA,42,32,2400,"DIGITAL",NA,NA,NA
"270",386,3,NA,NA,NA,NA,NA,NA,NA,NA
"271",387,9,11560,31,46,21900,"PLASTIC",2,16680.1460929,5
"272",388,5,NA,44,35,5700,"DIGITAL",NA,98866.682289,2
"273",392,3,NA,47,35,3500,"DIGITAL",NA,NA,NA
"274",393,7,44100,41,31,11300,"PLASTIC",2,3931.0794463,3
"275",397,6,NA,32,39,4700,"DIGITAL",NA,881.15522425,3
"276",398,8,44100,31,36,3800,"PLASTIC",0,1888.18262769,4
"277",399,9,11560,42,31,1400,"PLASTIC",1,2853.273746569,5
"278",400,1,NA,NA,NA,NA,NA,NA,NA,NA
"279",401,1,NA,NA,NA,NA,NA,NA,NA,NA
"280",402,1,NA,NA,NA,NA,NA,NA,NA,NA
"281",405,1,NA,NA,NA,NA,NA,NA,NA,NA
"282",406,7,NA,31,30,6100,"DIGITAL",NA,4364.6494576,4
"283",407,4,11560,35,46,2100,"PLASTIC",1,NA,NA
"284",408,3,NA,NA,NA,NA,NA,NA,NA,NA
"285",410,1,NA,NA,NA,NA,NA,NA,NA,NA
"286",411,4,44100,44,49,7300,"PLASTIC",4,NA,NA
"287",412,3,NA,36,37,2200,"DIGITAL",NA,NA,NA
"288",413,3,NA,NA,NA,NA,NA,NA,NA,NA
"289",414,1,NA,NA,NA,NA,NA,NA,NA,NA
"290",415,3,NA,NA,NA,NA,NA,NA,NA,NA
"291",417,1,NA,NA,NA,NA,NA,NA,NA,NA
"292",419,5,11560,45,49,7100,"PLASTIC",3,2553.100855,1
"293",420,1,NA,NA,NA,NA,NA,NA,NA,NA
"294",421,5,11560,48,39,45300,"PLASTIC",3,323.3799905,1
"295",422,1,NA,NA,NA,NA,NA,NA,NA,NA
"296",426,4,44100,37,38,31000,"PLASTIC",2,NA,NA
"297",427,3,NA,NA,NA,NA,NA,NA,NA,NA
"298",428,1,NA,NA,NA,NA,NA,NA,NA,NA
"299",429,7,11560,35,44,1600,"PLASTIC",2,380.605334503,3
"300",432,3,NA,NA,NA,NA,NA,NA,NA,NA
"301",434,3,NA,NA,NA,NA,NA,NA,NA,NA
"302",436,1,NA,NA,NA,NA,NA,NA,NA,NA
"303",437,3,NA,45,48,0,"DIGITAL",NA,NA,NA
"304",438,5,44620,47,46,500,"PLASTIC",1,17.91469606,1
"305",439,1,NA,NA,NA,NA,NA,NA,NA,NA
"306",440,1,NA,NA,NA,NA,NA,NA,NA,NA
"307",442,4,44620,44,47,34200,"PLASTIC",2,NA,NA
"308",443,1,NA,NA,NA,NA,NA,NA,NA,NA
"309",444,3,NA,NA,NA,NA,NA,NA,NA,NA
"310",446,5,NA,37,42,28100,"DIGITAL",NA,1800.3516509,2
"311",449,4,NA,33,42,24500,"DIGITAL",NA,30.02887727,1
"312",450,1,NA,NA,NA,NA,NA,NA,NA,NA
"313",451,8,53100,31,44,16600,"PLASTIC",5,4485.539923668,4
"314",452,1,NA,NA,NA,NA,NA,NA,NA,NA
"315",453,8,64000,31,49,7900,"PLASTIC",3,679.04632482,4
"316",454,3,NA,31,39,31400,"DIGITAL",NA,NA,NA
"317",455,1,NA,NA,NA,NA,NA,NA,NA,NA
"318",456,4,NA,47,32,11100,"DIGITAL",NA,821.8245191,1
"319",457,9,11560,47,41,34500,"PLASTIC",2,10785.60216006,5
"320",458,3,NA,NA,NA,NA,NA,NA,NA,NA
"321",459,4,NA,44,45,2900,"DIGITAL",NA,1413.193011,1
"322",460,4,44100,48,41,13400,"PLASTIC",2,NA,NA
"323",461,1,NA,NA,NA,NA,NA,NA,NA,NA
"324",462,3,NA,NA,NA,NA,NA,NA,NA,NA
"325",464,7,64000,41,35,5100,"PLASTIC",0,986.17866605,3
"326",465,4,53100,45,36,2200,"PLASTIC",3,NA,NA
"327",467,1,NA,NA,NA,NA,NA,NA,NA,NA
"328",468,1,NA,NA,NA,NA,NA,NA,NA,NA
"329",472,3,NA,NA,NA,NA,NA,NA,NA,NA
"330",476,5,NA,32,47,5400,"DIGITAL",NA,8274.197762,2
"331",477,7,NA,40,31,30400,"DIGITAL",NA,7405.2872419,4
"332",478,1,NA,NA,NA,NA,NA,NA,NA,NA
"333",484,9,44620,38,36,20400,"PLASTIC",0,2467.21106835,5
"334",485,1,NA,NA,NA,NA,NA,NA,NA,NA
"335",489,3,NA,NA,NA,NA,NA,NA,NA,NA
"336",490,1,NA,NA,NA,NA,NA,NA,NA,NA
"337",491,3,NA,NA,NA,NA,NA,NA,NA,NA
"338",494,1,NA,NA,NA,NA,NA,NA,NA,NA
"339",497,6,53100,49,37,11300,"PLASTIC",2,2787.2681354,2
"340",498,1,NA,NA,NA,NA,NA,NA,NA,NA
"341",499,8,44620,31,45,22800,"PLASTIC",1,2437.55325863,4
"342",500,4,NA,49,44,20800,"DIGITAL",NA,3838.06064,1
"343",502,5,53100,46,33,10100,"PLASTIC",2,75.39051897,1
"344",503,3,NA,NA,NA,NA,NA,NA,NA,NA
"345",504,7,NA,49,47,10200,"DIGITAL",NA,1378.95213509,4
"346",506,1,NA,NA,NA,NA,NA,NA,NA,NA
"347",507,8,53100,42,31,16400,"PLASTIC",1,969.584470842,4
"348",508,3,NA,NA,NA,NA,NA,NA,NA,NA
"349",510,1,NA,NA,NA,NA,NA,NA,NA,NA
"350",513,5,53100,41,48,1700,"PLASTIC",2,619.6905249,1
"351",515,8,11560,42,32,25800,"PLASTIC",2,1911.32279106,4
"352",516,1,NA,NA,NA,NA,NA,NA,NA,NA
"353",517,1,NA,NA,NA,NA,NA,NA,NA,NA
"354",520,3,NA,NA,NA,NA,NA,NA,NA,NA
"355",521,1,NA,NA,NA,NA,NA,NA,NA,NA
"356",523,1,NA,NA,NA,NA,NA,NA,NA,NA
"357",524,1,NA,NA,NA,NA,NA,NA,NA,NA
"358",528,1,NA,NA,NA,NA,NA,NA,NA,NA
"359",533,8,NA,32,32,6300,"DIGITAL",NA,2628.5488625,5
"360",534,6,53100,43,46,4400,"PLASTIC",2,20348.890922,2
"361",535,3,NA,NA,NA,NA,NA,NA,NA,NA
"362",537,1,NA,NA,NA,NA,NA,NA,NA,NA
"363",538,1,NA,NA,NA,NA,NA,NA,NA,NA
"364",540,3,NA,NA,NA,NA,NA,NA,NA,NA
"365",543,3,NA,NA,NA,NA,NA,NA,NA,NA
"366",544,3,NA,NA,NA,NA,NA,NA,NA,NA
"367",546,5,44100,41,46,8100,"PLASTIC",1,69.5527574,1
"368",547,5,11560,42,30,19400,"PLASTIC",1,302.8268617,1
"369",548,6,11560,48,38,7200,"PLASTIC",3,204.52091002,2
"370",551,3,NA,40,35,12700,"DIGITAL",NA,NA,NA
"371",553,3,NA,NA,NA,NA,NA,NA,NA,NA
"372",554,5,44100,35,41,5700,"PLASTIC",3,1107.441032,1
"373",555,1,NA,NA,NA,NA,NA,NA,NA,NA
"374",557,3,NA,NA,NA,NA,NA,NA,NA,NA
"375",558,1,NA,NA,NA,NA,NA,NA,NA,NA
"376",559,1,NA,NA,NA,NA,NA,NA,NA,NA
"377",560,6,44100,35,40,2800,"PLASTIC",3,770.3000944,2
"378",561,4,64000,30,43,60100,"PLASTIC",1,NA,NA
"379",562,4,NA,30,49,12300,"DIGITAL",NA,31.35553177,1
"380",563,5,44620,41,48,2400,"PLASTIC",2,73.31743782,1
"381",564,1,NA,NA,NA,NA,NA,NA,NA,NA
"382",565,3,NA,35,41,9600,"DIGITAL",NA,NA,NA
"383",566,3,NA,NA,NA,NA,NA,NA,NA,NA
"384",569,8,NA,45,40,4700,"DIGITAL",NA,33329.947505764,5
"385",570,1,NA,NA,NA,NA,NA,NA,NA,NA
"386",571,3,NA,NA,NA,NA,NA,NA,NA,NA
"387",572,3,NA,NA,NA,NA,NA,NA,NA,NA
"388",574,3,NA,NA,NA,NA,NA,NA,NA,NA
"389",575,1,NA,NA,NA,NA,NA,NA,NA,NA
"390",576,6,53100,38,46,7000,"PLASTIC",3,247.93837155,2
"391",577,1,NA,NA,NA,NA,NA,NA,NA,NA
"392",578,1,NA,NA,NA,NA,NA,NA,NA,NA
"393",579,3,NA,NA,NA,NA,NA,NA,NA,NA
"394",582,3,NA,NA,NA,NA,NA,NA,NA,NA
"395",583,7,53100,48,34,30200,"PLASTIC",2,490.14108106,3
"396",584,3,NA,NA,NA,NA,NA,NA,NA,NA
"397",586,1,NA,NA,NA,NA,NA,NA,NA,NA
"398",591,3,NA,NA,NA,NA,NA,NA,NA,NA
"399",592,1,NA,NA,NA,NA,NA,NA,NA,NA
"400",593,5,44100,32,36,100,"PLASTIC",2,110.1464778,1
"401",594,1,NA,NA,NA,NA,NA,NA,NA,NA
"402",595,1,NA,NA,NA,NA,NA,NA,NA,NA
"403",596,7,NA,44,47,3000,"DIGITAL",NA,812.096215644,4
"404",597,1,NA,NA,NA,NA,NA,NA,NA,NA
"405",601,1,NA,NA,NA,NA,NA,NA,NA,NA
"406",602,7,44100,40,31,4200,"PLASTIC",1,917.324166857,3
"407",603,3,NA,34,47,3000,"DIGITAL",NA,NA,NA
"408",604,1,NA,NA,NA,NA,NA,NA,NA,NA
"409",605,1,NA,NA,NA,NA,NA,NA,NA,NA
"410",608,3,NA,NA,NA,NA,NA,NA,NA,NA
"411",612,1,NA,NA,NA,NA,NA,NA,NA,NA
"412",613,3,NA,NA,NA,NA,NA,NA,NA,NA
"413",615,1,NA,NA,NA,NA,NA,NA,NA,NA
"414",618,1,NA,NA,NA,NA,NA,NA,NA,NA
"415",619,7,NA,49,34,20000,"DIGITAL",NA,1372.896355143,4
"416",621,3,NA,NA,NA,NA,NA,NA,NA,NA
"417",624,9,44620,35,32,100,"PLASTIC",3,2369.02524339,5
"418",625,9,11560,42,35,3400,"PLASTIC",2,516.353075362,5
